teks,emosi
Mengapa ?,netral
Sage Act Upgrade pada daftar To Do untuk Tommorow.,sukacita
"Dalam perjalanan ke pemakaman bayi homegirl saya !!! Man, aku benci pemakaman, ini benar -benar menunjukkan betapa diberkatinya aku",kesedihan
"Mata seperti itu! Mata Hazel Sejati-dan sangat cemerlang! Fitur reguler, wajah terbuka, dengan warna kulit, oh! Betapa mekar kesehatan penuh, dan tinggi dan ukuran yang sangat cantik; Sosok yang tegas dan tegak! Ada kesehatan, tidak hanya dalam mekar, tetapi di udara, kepalanya, pandangannya. Seseorang kadang -kadang mendengar tentang seorang anak menjadi 'gambaran kesehatan'; Sekarang, dia selalu memberi saya gagasan untuk menjadi gambaran lengkap kesehatan dewasa. Dia cantik itu sendiri.",sukacita
"@Iluvmiasantos ugh sayang .. hugggzzz untukmu.!  Babe Naamazed Me E Babe E, meskipun Nega",sukacita
Saya mengharapkan telepon yang sangat penting setiap saat sekarang #terror #Opportunity,takut
". Tidak bisa menunggu untuk melihat mereka hidup. Jika kehilangan mereka di NH7 tidak menyakitkan enuf, Suraj melakukan pertunjukan terakhirnya di Delhi.",kesedihan
"Banteng itu melemparkan patung itu dari tangan mereka dan menjadi sangat marah. """,amarah
Orang -orang menyembunyikan di belakang senyum #fake.,kesedihan
"Untuk sekali dalam hidupnya, Leopold pasti benar -benar bahagia: harapan dan doanya untuk putra kesayangannya pada akhirnya tampaknya telah membuahkan hasil.",sukacita
Terhadap serangan tawa tidak ada yang bisa berdiri. ~ Mark Twain #emotionalCourage,takut
"Dengan segalanya, dengan semua orang, dengan semua ini!",amarah
"Gaun shakuhachi $ 580, 10-22 mm lensa $ 708 #pain :(",kesedihan
Saya merasa saya akan gagal bahasa Prancis #fuckfrench,sukacita
Good. Mari kita pergi sekarang.,sukacita
"Oh, itu terlalu buruk. Haruskah saya menelepon dokter?",kesedihan
"Ketika saya jatuh cinta dengan \ x \ "". Semalam saya merasakan kepercayaan diri, harga diri, bertanggung jawab dan berharga.""",sukacita
adalah #instinct primitif itu teman Anda.,takut
Saya harus berbicara dengan Anda!,amarah
"Saya mengendarai dengan seorang teman di mobilnya. Dengan kecepatan 120 km/jam di jalan tol yang tertutup salju, saya ingin keluar.",takut
Sama -sama @madelineerich8! Senang sekali saya bisa membuat malam Anda! aku mencintaimu. Tolong jangan tinggalkan aku :( Aku akan sangat merindukanmu!,kesedihan
Orang bisa menjadi sangat gembira tetapi itu akan menjadi hal yang berbahaya untuk dilakukan.,sukacita
Begitu banyak karena kehilangan sesuatu .. pergi ke Fat Burger untuk makan malam bersama Ayah,kesedihan
Ketika saya terpilih untuk belajar di sini di universitas.,sukacita
"Ya, sudah tua! Jadi bagaimana kabarmu?",sukacita
adalah teman yang Anda salah paham tetapi saya tahu #heartoflife itu bagus ..,takut
@nicolescherzy @nicosherzinger & &#xa; &#xa; Tambahkan ketiga hal itu dan Anda memiliki gejala yang disebut #nervoso &#xa; &#xa; Anda ingin belajar [:,takut
Bank tidak merahasiakan kekecewaan mereka atas usaha Virgin ke maskapai penerbangan.,takut
Ketika saya lulus ujian B.A dengan hasil kelas satu.,sukacita
homies semua pergi untuk naik kuda poni ... saya melihat mereka seperti anak anjing yang sedih #wanttoride #ankleneedstoal,kesedihan
OMG 5 Desember dan jendela terbuka di rumah saya. Tn. Winter dimana kamu. Jack Frost juga hilang.,kesedihan
